session_id,session_name,timestamp,speed_ms,voltage_v,current_a,power_w,energy_j,distance_m,latitude,longitude,altitude,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,total_acceleration,message_id,uptime_seconds,throttle_pct,brake_pct,brake2_pct,throttle,brake,brake2,motor_voltage_v,motor_current_a,motor_rpm,motor_phase_1_current_a,motor_phase_2_current_a,motor_phase_3_current_a,motor_phase_current_a,data_source
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:19.058000+00:00,0,47.8400001525879,0.029999999329447746,10.5600004196167,49.040000915527344,0,0,0,0,-3.9079999923706055,-0.10700000077486038,-0.5339999794960022,10.145000457763672,0,-1.0199999809265137,10.196000099182129,25,5.070000171661377,0,0.20000000298023224,0.300000011920929,0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:19.258000+00:00,0,47.72999954223633,0.25,20.059999465942383,51.4000015258789,0,0,0,0,-3.869999885559082,-0.18299999833106995,-0.5109999775886536,10.130999565124512,0.2370000034570694,-0.9890000224113464,10.182000160217285,26,5.269999980926514,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:19.458000+00:00,0,47.790000915527344,0.300000011920929,20.59000015258789,54.2400016784668,0,0,0,0,-3.878000020980835,-0.24400000274181366,-0.6110000014305115,10.211999893188477,0.3070000112056732,-0.8960000276565552,10.255999565124512,27,5.46999979019165,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:19.658000+00:00,0,47.79999923706055,0.2800000011920929,20.079999923706055,56.939998626708984,0,0,0,0,-3.9079999923706055,-0.12200000137090683,-0.709999978542328,9.94200038909912,0.007000000216066837,-0.9819999933242798,9.989999771118164,28,5.670000076293945,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:19.858000+00:00,0,47.72999954223633,0.28999999165534973,20.540000915527344,59.689998626708984,0,0,0,0,-3.78600001335144,-0.15299999713897705,-0.488999992609024,10.236000061035156,0.00999999977648258,-1.1109999418258667,10.295999526977539,29,5.869999885559082,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:20.058000+00:00,0,47.790000915527344,0.28999999165534973,20.059999465942383,62.41999816894531,0,0,0,0,-3.86299991607666,0,-0.7329999804496765,9.989999771118164,0.20600000023841858,-1.187999963760376,10.062000274658203,30,6.070000171661377,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:20.258000+00:00,0,47.83000183105469,0.300000011920929,23.399999618530273,65.3000030517578,0,0,0,0,-3.878000020980835,-0.24400000274181366,-0.671999990940094,9.888999938964844,0,-1.149999976158142,9.956000328063965,31,6.269999980926514,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:20.458000+00:00,0,47.83000183105469,0.25999999046325684,17.770000457763672,67.8199996948242,0,0,0,0,-3.9079999923706055,0.12200000137090683,-0.9769999980926514,10.041999816894531,0.00999999977648258,-1.065999984741211,10.098999977111816,32,6.46999979019165,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:20.658000+00:00,0,47.77000045776367,0.25999999046325684,19.15999984741211,70.27999877929688,0,0,0,0,-3.7790000438690186,0,-0.488999992609024,10.232000350952148,0.15600000321865082,-1.0540000200271606,10.286999702453613,33,6.670000076293945,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:20.858000+00:00,0,47.83000183105469,0.239999994635582,16.770000457763672,72.5800018310547,0,0,0,0,-3.8320000171661377,0,-0.709999978542328,10.116999626159668,0,-0.9679999947547913,10.163000106811523,34,6.869999885559082,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:21.058000+00:00,0,47.7599983215332,0.2800000011920929,21.1200008392334,75.2300033569336,0,0,0,0,-3.8469998836517334,-0.24400000274181366,-0.9390000104904175,10.121000289916992,0.24899999797344208,-1.1059999465942383,10.1850004196167,35,7.070000171661377,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:21.258000+00:00,0,47.75,0.300000011920929,21.540000915527344,78.0500030517578,0,0,0,0,-3.6410000324249268,0.014999999664723873,-0.7179999947547913,10.154999732971191,0.23000000417232513,-1.1160000562667847,10.2189998626709,36,7.269999980926514,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:21.458000+00:00,0,47.7599983215332,0.119999997317791,14.34000015258789,79.2300033569336,0,0,0,0,-3.8469998836517334,-0.04600000008940697,-0.7179999947547913,10.119000434875488,0.0599999986588955,-1.2120000123977661,10.190999984741211,37,7.46999979019165,0,0.20000000298023224,0.300000011920929,0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:21.658000+00:00,0,47.75,0.3199999928474426,21.469999313354492,82.25,0,0,0,0,-3.7709999084472656,0.03099999949336052,-0.518999993801117,10.121000289916992,0.05700000002980232,-1.2239999771118164,10.194999694824219,38,7.670000076293945,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:21.858000+00:00,0,47.790000915527344,0.300000011920929,21.549999237060547,85.1500015258789,0,0,0,0,-3.878000020980835,-0.05299999937415123,-0.916000008583069,10.163999557495117,0.0020000000949949026,-1.1519999504089355,10.229999542236328,39,7.869999885559082,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:22.058000+00:00,0,47.79999923706055,0.300000011920929,20.540000915527344,87.9800033569336,0,0,0,0,-3.7330000400543213,0.21400000154972076,-0.5649999976158142,9.98200035095215,0.024000000208616257,-1.218999981880188,10.057000160217285,40,8.06999969482422,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:22.258000+00:00,0,47.75,0.14000000059604645,14.859999656677246,89.3000030517578,0,0,0,0,-3.75600004196167,0.19099999964237213,-0.8550000190734863,10.119000434875488,0.23000000417232513,-1.034999966621399,10.173999786376953,41,8.27000045776367,0,0.20000000298023224,0.300000011920929,0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:22.458000+00:00,0,47.79999923706055,0.20000000298023224,19.6200008392334,91.26000213623047,0,0,0,0,-3.7179999351501465,0,-0.7179999947547913,10.119000434875488,0.1940000057220459,-1.0509999990463257,10.175000190734863,42,8.47000026702881,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:22.658000+00:00,0,47.77000045776367,0.14000000059604645,17.68000030517578,92.61000061035156,0,0,0,0,-3.878000020980835,-0.17599999904632568,-0.6259999871253967,10.166999816894531,0.18400000035762787,-1.2170000076293945,10.241000175476074,43,8.670000076293945,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:22.858000+00:00,0,47.689998626708984,0.28999999165534973,22.440000534057617,95.36000061035156,0,0,0,0,-3.878000020980835,-0.12200000137090683,-0.640999972820282,9.876999855041504,0.15299999713897705,-1.2139999866485596,9.95300006866455,44,8.86999988555908,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:23.058000+00:00,0,47.720001220703125,0.18000000715255737,19.59000015258789,97.08999633789062,0,0,0,0,-3.9079999923706055,0.1679999977350235,-0.962000012397766,10.116999626159668,0.00999999977648258,-1.1019999980926514,10.175999641418457,45,9.06999969482422,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:23.258000+00:00,0,47.720001220703125,0.17000000178813934,17.219999313354492,98.6999969482422,0,0,0,0,-3.878000020980835,-0.18299999833106995,-0.9769999980926514,9.977999687194824,0.25099998712539673,-0.994000017642975,10.029999732971191,46,9.27000045776367,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:23.458000+00:00,0,47.77000045776367,0.239999994635582,22.450000762939453,100.98999786376953,0,0,0,0,-3.869999885559082,0,-0.968999981880188,10.154999732971191,0.277999997138977,-1.0540000200271606,10.213000297546387,47,9.47000026702881,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:23.658000+00:00,0,47.7599983215332,0.300000011920929,21.93000030517578,103.86000061035156,0,0,0,0,-3.7709999084472656,0,-0.847000002861023,10.154999732971191,0.054999999701976776,-1.22599995136261,10.229000091552734,48,9.670000076293945,0,0.300000011920929,0.300000011920929,0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:23.858000+00:00,0,47.72999954223633,0.38999998569488525,27.209999084472656,107.62000274658203,0,0,0,0,-3.9079999923706055,0.061000000685453415,-0.7630000114440918,9.989999771118164,0.24199999868869781,-0.972000002861023,10.039999961853027,49,9.86999988555908,0,0.20000000298023224,0.300000011920929,0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:24.058000+00:00,0,47.720001220703125,0.3799999952316284,25.270000457763672,111.26000213623047,0,0,0,0,-3.78600001335144,-0.05299999937415123,-0.640999972820282,9.9060001373291,0.01899999938905239,-1.0870000123977661,9.96500015258789,50,10.069999694824219,0,0.20000000298023224,0.300000011920929,0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:24.258000+00:00,0,47.72999954223633,0.38999998569488525,24.34000015258789,114.9800033569336,0,0,0,0,-3.9079999923706055,0.15299999713897705,-0.962000012397766,10.361000061035156,0.00999999977648258,-1.0679999589920044,10.416000366210938,51,10.270000457763672,0,0.20000000298023224,0.300000011920929,0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:24.458000+00:00,0,47.72999954223633,0.38999998569488525,26.239999771118164,118.70999908447266,0,0,0,0,-3.6559998989105225,0,-0.916000008583069,10.22700023651123,0.028999999165534973,-0.994000017642975,10.274999618530273,52,10.470000267028809,0,0.20000000298023224,0.300000011920929,0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
bf2d9562-979d-42fb-8f86-19d3790e04d5,OFFTRACK 001,2026-03-23T20:49:24.658000+00:00,0,47.709999084472656,0.3799999952316284,25.34000015258789,122.3499984741211,0,0,0,0,-3.9079999923706055,0,-0.6110000014305115,10.317999839782715,0.01899999938905239,-1.2070000171661377,10.387999534606934,53,10.670000076293945,0,0.20000000298023224,0.300000011920929,0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP32_REAL
